date,close,volume,open,high,low,symbol
2024-02-27,173.54,31141730,174.075,174.62,172.86,AMZN
2024-02-26,174.73,44368610,175.7,176.37,174.26,AMZN
2024-02-23,174.99,59715240,174.28,175.75,173.7,AMZN
2024-02-22,174.58,55392350,173.1,174.8,171.77,AMZN
2024-02-21,168.59,44575620,168.94,170.23,167.14,AMZN
2024-02-20,167.08,41980330,167.83,168.71,165.74,AMZN
2024-02-16,169.51,48107740,168.74,170.42,167.17,AMZN
2024-02-15,169.8,49855200,170.58,171.17,167.59,AMZN
2024-02-14,170.98,42815540,169.21,171.21,168.28,AMZN
2024-02-13,168.64,56345120,167.73,170.95,165.75,AMZN
2024-02-12,172.34,51050440,174.8,175.39,171.54,AMZN
2024-02-09,174.45,56985990,170.9,175.0,170.5803,AMZN
2024-02-08,169.84,42316450,169.65,171.43,168.88,AMZN
2024-02-07,170.53,47174060,169.48,170.88,168.94,AMZN
2024-02-06,169.15,42505520,169.39,170.71,167.65,AMZN
2024-02-05,170.31,55081300,170.2,170.55,167.7,AMZN
2024-02-02,171.81,117218300,169.19,172.5,167.33,AMZN
2024-02-01,159.28,76542420,155.87,159.76,155.62,AMZN
2024-01-31,155.2,50284370,157.0,159.01,154.81,AMZN
2024-01-30,159.0,45207430,160.7,161.73,158.49,AMZN
2024-01-29,161.26,45270390,159.34,161.29,158.9,AMZN
2024-01-26,159.12,51047350,158.42,160.72,157.91,AMZN
2024-01-25,157.75,43638590,156.95,158.505,154.5501,AMZN
2024-01-24,156.87,48547320,157.8,158.51,156.48,AMZN
2024-01-23,156.02,37986040,154.85,156.21,153.93,AMZN
2024-01-22,154.78,43687470,156.89,157.05,153.9,AMZN
2024-01-19,155.34,51651630,153.83,155.76,152.74,AMZN
2024-01-18,153.5,37850250,152.77,153.775,151.82,AMZN
2024-01-17,151.71,34953360,151.49,152.15,149.91,AMZN
2024-01-16,153.16,41384640,153.53,154.99,152.15,AMZN
2024-01-12,154.62,40484160,155.39,156.2,154.01,AMZN
2024-01-11,155.18,49072690,155.04,157.17,153.12,AMZN
2024-01-10,153.73,44421830,152.06,154.42,151.881,AMZN
2024-01-09,151.37,43812570,148.33,151.71,148.21,AMZN
